Applicant_ID,Applicant_Income,Coapplicant_Income,Employment_Status,Age,Marital_Status,Dependents,Credit_Score,Existing_Loans,DTI_Ratio,Savings,Collateral_Value,Loan_Amount,Loan_Term,Loan_Purpose,Property_Area,Education_Level,Gender,Employer_Category,Loan_Approved
APP00001,213703,71533,Business,59,Married,1,701,1,0.618,440917,1632752,1143148,84,Business,Urban,Graduate,Male,Self,1
APP00002,51088,40730,Self-Employed,49,Married,3,570,0,1.5,18261,1413008,2378040,60,Personal,Urban,Graduate,Female,Private,0
APP00003,41184,31051,Salaried,35,Married,0,656,2,1.5,149281,1528602,3397074,240,Home,Urban,Graduate,Male,Govt,0
APP00004,83264,77665,Self-Employed,63,Married,1,613,0,0.711,33647,586532,1589594,180,Home,Semi-Urban,Graduate,Male,Private,0
APP00005,65106,0,Self-Employed,28,Single,2,578,2,1.5,144293,204309,3231117,24,Home,Rural,Graduate,Male,Govt,0
APP00006,86046,30785,Salaried,41,Married,2,775,0,1.5,446049,1299527,4194486,24,Personal,Rural,Graduate,Male,Self,1
APP00007,127968,29402,Salaried,59,Married,4,582,4,0.668,352557,1048514,973680,120,Personal,Semi-Urban,Postgraduate,Male,Self,0
APP00008,91741,2704,Salaried,39,Married,0,739,0,1.5,30557,255842,2719703,12,Home,Urban,Graduate,Male,Private,0
APP00009,86377,27027,Salaried,43,Married,2,611,3,0.287,234606,1772511,452328,180,Education,Urban,Undergraduate,Female,Private,1
APP00010,55431,59092,Self-Employed,31,Married,2,788,1,1.123,405742,1758023,2382569,240,Home,Urban,Postgraduate,Male,Govt,1
APP00011,70161,5725,Salaried,31,Married,3,646,0,1.5,108585,1866923,2906026,240,Home,Urban,Undergraduate,Male,Private,0
APP00012,192963,64105,Business,44,Married,0,706,0,1.5,137323,567930,1430764,36,Education,Semi-Urban,Graduate,Male,Self,1
APP00013,42544,0,Salaried,56,Single,2,634,3,1.5,37588,1163866,2075212,180,Home,Urban,Graduate,Male,Govt,0
APP00014,37987,0,Salaried,60,Single,2,506,0,1.5,190564,768735,2349976,12,Education,Urban,Graduate,Male,Private,0
APP00015,75690,0,Self-Employed,44,Single,0,546,0,1.5,11889,711971,860701,36,Business,Urban,Postgraduate,Male,Private,1
APP00016,69785,0,Salaried,23,Single,1,528,0,1.5,378832,1421153,4572244,120,Home,Semi-Urban,Undergraduate,Male,Private,0
APP00017,48358,12767,Salaried,42,Married,1,700,4,1.5,378134,1563899,4500269,360,Home,Semi-Urban,Graduate,Female,Private,0
APP00018,139759,0,Salaried,22,Single,2,677,0,1.223,492518,517528,1108103,84,Home,Semi-Urban,Graduate,Male,Self,1
APP00019,107674,0,Salaried,44,Single,3,727,0,1.5,252723,1440734,2127630,84,Education,Semi-Urban,Undergraduate,Male,Govt,1
APP00020,81450,21901,Salaried,64,Married,2,625,3,1.5,296290,964393,4905608,360,Personal,Rural,Graduate,Male,Private,0
APP00021,140229,0,Business,50,Single,2,506,3,0.389,57318,242030,1514310,360,Personal,Urban,Postgraduate,Female,Private,0
APP00022,53428,68637,Salaried,58,Married,1,784,0,1.5,498298,1876223,1973803,120,Education,Semi-Urban,Postgraduate,Male,Govt,1
APP00023,133554,0,Business,22,Single,0,759,3,1.5,471804,777740,3753118,84,Education,Semi-Urban,Undergraduate,Male,Private,1
APP00024,76354,0,Self-Employed,41,Single,0,709,0,1.5,496300,1313207,2285893,24,Home,Semi-Urban,Graduate,Male,Govt,1
APP00025,49536,3573,Salaried,53,Married,1,768,0,1.5,42638,99662,2510379,240,Education,Rural,Graduate,Male,Govt,1
APP00026,82395,0,Salaried,32,Single,1,671,2,1.5,6147,1109621,2434675,240,Personal,Urban,Postgraduate,Male,Govt,0
APP00027,180702,0,Business,42,Single,0,701,2,0.604,401063,354738,1515504,180,Home,Semi-Urban,Undergraduate,Male,Self,1
APP00028,183075,0,Business,64,Single,1,623,0,0.823,90770,1163953,2788565,240,Personal,Urban,Graduate,Male,Private,0
APP00029,126494,5060,Salaried,45,Married,1,594,0,1.5,327479,224716,743318,36,Personal,Semi-Urban,Graduate,Male,Self,0
APP00030,94484,0,Salaried,47,Single,0,553,0,0.327,483206,205107,85931,36,Home,Urban,Postgraduate,Male,Private,1
APP00031,26287,56899,Salaried,62,Married,1,619,2,1.5,431604,1631904,911062,24,Education,Urban,Undergraduate,Female,Private,0
APP00032,79510,55421,Salaried,48,Married,0,892,4,1.5,69347,1150046,2158776,12,Business,Semi-Urban,Undergraduate,Female,Private,0
APP00033,99576,45610,Self-Employed,36,Married,3,558,0,1.5,497483,1925528,4368452,36,Home,Semi-Urban,Undergraduate,Female,Self,0
APP00034,54601,0,Business,35,Single,3,604,2,1.5,438199,847727,841084,36,Home,Urban,Graduate,Female,Private,0
APP00035,137894,0,Salaried,64,Single,2,689,0,1.5,442036,1049401,4099298,180,Education,Semi-Urban,Graduate,Male,Private,1
APP00036,46716,0,Self-Employed,23,Single,0,871,2,1.5,383974,132263,4466884,360,Personal,Semi-Urban,Postgraduate,Male,Govt,0
APP00037,93255,0,Self-Employed,57,Single,2,596,0,1.5,424292,1441701,1045136,12,Home,Urban,Undergraduate,Male,Private,1
APP00038,26772,11612,Salaried,27,Married,3,629,1,1.5,428968,1243138,3465967,240,Business,Semi-Urban,Graduate,Male,Private,0
APP00039,78054,47611,Salaried,41,Married,2,733,0,1.5,458749,473459,2223368,12,Personal,Semi-Urban,Graduate,Female,Self,1
APP00040,97558,18888,Self-Employed,29,Married,0,729,3,1.5,283147,301697,1546916,36,Business,Semi-Urban,Undergraduate,Male,Private,0
APP00041,90502,19417,Business,59,Married,2,624,0,1.5,209026,781334,3879330,60,Home,Urban,Graduate,Female,Private,0
APP00042,108481,61323,Self-Employed,38,Married,3,613,1,0.191,284854,356449,600621,240,Business,Urban,Graduate,Male,Private,1
